ban1,ban2,ban3,ban4,ban5,champion,league,player,position,side,split,team,url,week,a,airdrakes,ckpm,csat10,csat15,csdat10,csdat15,cspm,d,date,dmgshare,dmgtochamps,dmgtochampsperminute,doubles,earnedgoldshare,earnedgpm,earthdrakes,elders,elementals,fb,fbaron,fbarontime,fbassist,fbtime,fbvictim,fd,fdtime,firedrakes,firstmidouter,firsttothreetowers,ft,fttime,game,gameid,gamelength,gdat10,gdat15,goldat10,goldat15,goldspent,gspd,heraldkills,invisiblewardclearrate,k,kpm,minionkills,monsterkills,monsterkillsenemyjungle,monsterkillsownjungle,okpm,oppbaronkills,oppcsat10,oppcsat15,oppdragkills,oppelders,oppelementals,oppgoldat10,oppgoldat15,oppheraldkills,opptowerkills,oppxpat10,patchno,pentas,playerid,quadras,result,teambaronkills,teamdeaths,teamdragkills,teamkills,teamtowerkills,totalgold,triples,visiblewardclearrate,visionwardbuys,visionwards,wardkills,wards,wardshare,waterdrakes,wcpm,wpm,xpat10,xpdat10
Qiyana,Gangplank,Akali,Elise,Olaf,Gnar,WC,Evi,Top,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,4,0,"1,092964824",76,116,-14,-6,"7,085427136",4,"43740,286145833","0,312067433",11588,"436,733668342",0,"0,206844383","184,059798995",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-362,-798,3078,4670,8300,"-0,151447661",0,,0,0,180,8,1,4,"0,037688442",1,90,122,2,0,0,3440,5468,1,10,5051,"9,19",0,1,0,0,0,22,1,7,1,8407,0,,6,4,4,11,"0,105769231",0,"0,150753769","0,414572864",4530,-521
Qiyana,Gangplank,Akali,Elise,Olaf,Ekko,WC,Steal,Jungle,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,5,1,"1,092964824",60,88,-4,-17,"4,937185930",4,"43740,286145833","0,213422024",7925,"298,680904523",0,"0,166862341","148,481909548",0,0,1,0,0,"23,779816667",0,"3,879983333",0,1,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-371,-1366,3684,4912,7360,"-0,296789124",0,,1,"0,037688442",35,96,0,76,"0,263819095",1,64,105,2,0,2,4055,6278,1,10,3928,"9,19",0,2,0,0,0,22,1,7,1,7463,0,,13,11,8,24,"0,230769231",0,"0,301507538","0,904522613",3679,-249
Qiyana,Gangplank,Akali,Elise,Olaf,Nocturne,WC,Ceros,Middle,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,6,0,"1,092964824",88,131,3,-19,"7,236180905",5,"43740,286145833","0,203511701",7557,"284,811557789",0,"0,210105631","186,961809045",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",357,-629,3926,5487,7700,"-0,281729428",0,,1,"0,037688442",186,6,0,4,"0,113065327",1,85,150,2,0,0,3569,6116,1,10,4533,"9,19",0,3,0,0,0,22,1,7,1,8484,0,,7,6,1,13,"0,125",0,"0,037688442","0,489949749",4751,218
Qiyana,Gangplank,Akali,Elise,Olaf,Lucian,WC,Yutapon,ADC,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,1,0,"1,092964824",87,119,11,-15,"9,007537688",4,"43740,286145833","0,198448819",7369,"277,726130653",1,"0,300742887","267,615075377",0,0,0,0,0,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-390,-1829,3579,5313,10150,"-0,215384615",0,,3,"0,113065327",219,20,0,20,"0,414572864",1,76,134,2,0,0,3969,7142,1,10,3532,"9,19",0,4,0,0,0,22,1,7,1,10624,0,,4,3,7,9,"0,086538462",0,"0,263819095","0,339195980",3526,-6
Qiyana,Gangplank,Akali,Elise,Olaf,Thresh,WC,Gaeng,Support,Blue,2019-W,DetonatioN FocusMe,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,2,0,"1,092964824",4,6,1,1,"0,527638191",5,"43740,286145833","0,072550023",2694,"101,532663317",0,"0,115444758","102,728140704",0,0,0,0,0,"23,779816667",0,"3,879983333",1,0,"9,717566667",0,0,0,0,"13,588566667",1,1070340,"26,533333333",-306,-1156,2088,3163,5450,"-0,296875",0,,2,"0,075376884",12,2,0,2,0,1,3,5,2,0,0,2394,4319,1,10,2376,"9,19",0,5,0,0,0,22,1,7,1,6249,0,,14,13,8,47,"0,451923077",0,"0,301507538","1,771356784",2731,355
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Kennen,WC,Vizicsacsi,Top,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,12,0,"1,092964824",90,122,14,6,"6,859296482",1,"43740,286145833","0,243147924",14478,"545,653266332",0,"0,159670811","235,014572864",0,0,0,0,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",362,798,3440,5468,9660,"0,151447661",1,,1,"0,037688442",182,0,0,0,0,0,76,116,1,0,0,3078,4670,0,1,4530,"9,19",0,6,0,1,1,7,2,22,10,9759,0,,9,7,8,15,"0,1875",0,"0,301507538","0,565326633",5051,521
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Hecarim,WC,Xerxe,Jungle,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,6,1,"1,092964824",64,105,4,17,"5,502512563",1,"43740,286145833","0,130693269",7782,"293,291457286",1,"0,199871971","294,185427136",0,0,2,1,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",371,1366,4055,6278,9925,"0,296789124",1,,7,"0,263819095",18,128,12,78,"0,037688442",0,60,88,1,0,1,3684,4912,0,1,3679,"9,19",0,7,0,1,1,7,2,22,10,11329,0,,10,8,7,9,"0,1125",1,"0,263819095","0,339195980",3928,249
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Ryze,WC,Humanoid,Middle,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,10,0,"1,092964824",85,150,-3,19,"10,025125628",2,"43740,286145833","0,212750235",12668,"477,437185930",0,"0,215721982","317,514572864",0,0,0,0,1,"23,779816667",0,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",-357,629,3569,6116,10225,"0,281729428",1,,3,"0,113065327",222,44,11,24,"0,037688442",0,88,131,1,0,0,3926,5487,0,1,4751,"9,19",0,8,0,1,1,7,2,22,10,11948,0,,7,6,12,15,"0,1875",0,"0,452261307","0,565326633",4533,-218
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Xayah,WC,Kobbe,ADC,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,5,0,"1,092964824",76,134,-11,15,"10,138190955",0,"43740,286145833","0,350984146",20899,"787,650753769",3,"0,300989409","443,017085427",0,0,0,0,1,"23,779816667",1,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",390,1829,3969,7142,12600,"0,215384615",1,,11,"0,414572864",253,16,0,12,"0,113065327",0,87,119,1,0,0,3579,5313,0,1,3526,"9,19",0,9,0,1,1,7,2,22,10,15278,0,,4,3,11,11,"0,1375",0,"0,414572864","0,414572864",3532,6
Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,Rakan,WC,Norskeren,Support,Red,2019-W,Splyce,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,PI-RR,18,0,"1,092964824",3,5,-1,-1,"0,489949749",3,"43740,286145833","0,062424426",3717,"140,087939698",0,"0,123745826","182,137688442",0,0,0,0,1,"23,779816667",1,"3,879983333",0,0,"9,717566667",0,1,1,1,"13,588566667",1,1070340,"26,533333333",306,1156,2394,4319,7350,"0,296875",1,,0,0,13,0,0,0,"0,075376884",0,4,6,1,0,0,2088,3163,0,1,2731,"9,19",0,10,0,1,1,7,2,22,10,8356,0,,11,11,13,30,"0,375",0,"0,489949749","1,130653266",2376,-355
